pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,tfopwg_disp
0.2750478,0.5251393,703.0554225,4.0587998,34263.97336,3469.997649,9.58094,188.364,6218.0,4.26662,1.3227299,APC
8.5334865,2.369,1756.0,4.14687,130.53,941.0,10.1374,158.659,5997.0,4.45722,0.97,APC
2.9412694,1.6223259,2421.369675,8.8335566,990.2921795,1430.739564,10.3773,215.387,5642.0,4.16735,1.21356,APC
1.3583233,1.463,6790.0,13.5621,812.252,1487.0,13.115,610.636,5604.0,4.05,1.56,APC
2.3626901,1.4468336,4744.080029,6.9577388,340.3343305,1095.459156,11.6786,189.575,5222.44,4.63151,0.755047,APC
1.3523942,0.512,371.0,2.82883,252.046,1110.0,8.4633,93.0994,5915.0,4.1283,1.29,APC
0.4522013,0.5773712,15351.64981,7.9172286,731.2387223,1326.277936,15.0155,379.43,3739.0,4.6228,0.633946,APC
4.9898664,1.037,1850.0,9.128,167.032,1001.0,11.5679,528.469,6242.0,4.09,1.63,APC
20.2749388,5.788,410.0,1.74398,56.5944,764.0,8.9767,67.3975,5581.0,4.52166,0.88,APC
1.5985577,1.19,2590.0,11.0534,1717.96,1793.0,10.1485,493.91,7947.0,4.04,2.2,APC
17.7256773,1.629,2860.0,15.4613,39.274,697.0,10.7203,338.491,6010.0,4.06,1.63,APC
1.04855,1.062799,34644.95398,4.183797,26.9192494,580.9456261,14.114,150.5,3109.0,5.06577,0.202,APC
20.5773388,1.503,8520.0,8.59393,2.81608,360.0,11.906,232.248,5062.0,4.47,0.89,APC
13.3057762,5.5,3700.0,13.7171,505.593,1321.0,11.3171,900.45,8104.0,4.02,2.26,APC
0.701239,1.05,13700.0,10.9462,1087.15,1599.0,13.4319,423.737,5126.0,4.51,0.85,APC
1.1110609,1.155,4060.0,12.9236,2976.45,2057.0,13.286,582.471,5500.1,4.4,1.02,APC
18.0892103,2.5607235,5526.715877,22.2024283,221.7006105,984.1503966,8.2488,163.677,7403.0,4.13809,1.8368599,APC
2.3612205,2.303,2410.0,13.5272,875.429,1515.0,11.7163,749.716,5766.0,3.59,2.7,APC
4.1976789,3.829,6960.0,14.6667,713.476,1439.0,10.7217,357.584,6058.0,4.02,1.71,APC
4.3023572,1.579,30080.0,10.2749,11.1055,508.0,13.0176,140.9938,3504.0,4.67,0.58,APC
5.2976347,1.711,3920.0,4.00604,19.2351,583.0,12.1314,105.824,4031.0,4.65,0.62,APC
0.3852177,0.319,1260.0,5.99543,429.583,1268.0,11.422,275.255,5313.9,4.19,1.27,APC
5.8049376,4.055,7130.0,20.5615,395.882,1242.0,12.2431,967.25,5978.2,3.73,2.38,APC
4.0107869,0.829,8290.0,24.4253,115.574,913.0,13.3701,895.565,6175.1,4.23,1.38,APC
2.9859596,1.671,1900.0,13.2487,388.241,1236.0,10.8175,685.736,6417.0,3.6338,2.87,APC
12.7426508,3.633,10765.0,16.6789,213.224,1064.0,9.59788,200.226,6385.0,4.21,1.47,APC
13.6421377,3.522,413.0,1.77499,80.3771,834.0,10.2521,170.451,5961.0,4.46,1.02,APC
