koi_period,koi_period_err1,koi_time0bk_err1,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_depth,koi_depth_err1,koi_prad,koi_prad_err1,koi_teq,koi_insol,koi_insol_err1,koi_model_snr,koi_tce_plnt_num,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_disposition_encoded
3.340218842,3.177e-06,0.00075,0.466,0.002,-0.437,1.9104,0.0318,1632.6,26.6,2.03,0.13,656.0,43.73,9.67,71.6,1.0,0.042,-0.031,0.493,0.033,-0.04,2
2.507089906,2.401e-06,0.000835,1.255,16.5,-0.349,2.0067,0.0427,1339.2,24.7,30.26,9.57,1326.0,730.47,699.82,64.9,1.0,0.054,-0.216,0.939,0.297,-0.099,0
18.64932728,5.202e-05,0.00224,0.08,0.329,-0.08,4.4056,0.0687,893.6,20.9,3.12,0.47,701.0,57.13,22.99,46.1,1.0,0.066,-0.123,1.053,0.161,-0.094,2
4.90144976,1.07e-05,0.00175,0.529,0.021,-0.46,4.1654,0.0585,140.7,2.9,1.7,0.08,1262.0,598.74,84.12,50.6,3.0,0.02,-0.018,1.402,0.063,-0.046,2
9.75192101,4.829e-05,0.0036,0.949,0.028,-0.673,4.793,0.181,418.0,16.2,2.76,0.43,870.0,135.66,54.6,28.5,3.0,0.066,-0.123,1.053,0.161,-0.094,2
38.5576546,0.0001765,0.00407,0.911,0.025,-0.663,5.794,0.199,993.0,26.8,4.02,0.62,550.0,21.71,8.73,39.7,2.0,0.066,-0.123,1.053,0.161,-0.094,2
3.525632539,1.5e-07,3.33e-05,0.12,0.006,-0.084,2.59959,0.00079,22335.0,13.1,11.58,0.9,975.0,213.12,50.79,1996.7,1.0,0.02,-0.064,0.793,0.062,-0.033,2
34.84398644,4.036e-05,0.00094,0.934,0.575,-0.031,2.9315,0.0702,4523.6,82.5,7.61,1.72,511.0,16.1,11.1,76.8,1.0,0.081,-0.15,0.871,0.196,-0.105,1
7.748094239,7.553e-06,0.000765,0.517,0.237,-0.325,3.5957,0.043,2472.1,25.7,5.52,1.7,964.0,204.39,186.49,113.2,1.0,0.052,-0.221,1.085,0.334,-0.111,2
23.96793669,9.249e-05,0.00305,0.416,0.053,-0.416,3.827,0.113,1182.3,46.1,1.8,0.1,329.0,2.77,0.58,27.5,1.0,0.042,-0.025,0.524,0.03,-0.044,2
8.29561738,2.368e-05,0.00219,0.888,0.062,-0.612,1.3421,0.0773,824.3,57.5,1.82,0.1,469.0,11.39,2.4,17.9,2.0,0.042,-0.025,0.524,0.03,-0.044,2
8.11437482,1.092e-05,0.00107,0.573,0.0,-0.468,2.2736,0.0447,1558.0,32.0,2.1,0.14,460.0,10.55,2.46,56.4,1.0,0.032,-0.039,0.517,0.035,-0.039,2
